"material","LCstage","disposition","impactCategory","impactUnits","impactFactor","impliedMiles"
"Wood","endOfLife","combustion","Global warming","kg CO2 eq.",1350.15581516686,180
"Wood","endOfLife","composting","Global warming","kg CO2 eq.",543.704130130946,180
"Wood","endOfLife","landfilling","Global warming","kg CO2 eq.",1024.10139605522,180
"Wood","endOfLifeTransport","combustion","Global warming","kg CO2 eq.",23.0566425916862,180
"Wood","endOfLifeTransport","composting","Global warming","kg CO2 eq.",23.0566425916862,180
"Wood","endOfLifeTransport","landfilling","Global warming","kg CO2 eq.",23.0566425916862,180
"Wood","production","production","Global warming","kg CO2 eq.",-996.239597053142,180
"Wood","endOfLife","combustion","Human toxicity","CTUh",-4.75053814195229e-08,180
"Wood","endOfLife","composting","Human toxicity","CTUh",6.23126503999365e-07,180
"Wood","endOfLife","landfilling","Human toxicity","CTUh",2.47235455321677e-07,180
"Wood","endOfLifeTransport","combustion","Human toxicity","CTUh",1.31706991772498e-08,180
"Wood","endOfLifeTransport","composting","Human toxicity","CTUh",1.31706991772498e-08,180
"Wood","endOfLifeTransport","landfilling","Human toxicity","CTUh",1.31706991772498e-08,180
"Wood","production","production","Human toxicity","CTUh",5.13538540552172e-05,180
"Wood","endOfLife","combustion","Smog","kg O3 eq.",7.37589599412559,180
"Wood","endOfLife","composting","Smog","kg O3 eq.",-1.14317360277542,180
"Wood","endOfLife","landfilling","Smog","kg O3 eq.",11.6259042246633,180
"Wood","endOfLifeTransport","combustion","Smog","kg O3 eq.",1.48204940751358,180
"Wood","endOfLifeTransport","composting","Smog","kg O3 eq.",1.48204940751358,180
"Wood","endOfLifeTransport","landfilling","Smog","kg O3 eq.",1.48204940751358,180
"Wood","production","production","Smog","kg O3 eq.",56.0006616528525,180
"Wood","endOfLife","combustion","Water consumption","kg",-2406.87441062217,180
"Wood","endOfLife","composting","Water consumption","kg",105.818758328736,180
"Wood","endOfLife","landfilling","Water consumption","kg",-782.369451286853,180
"Wood","endOfLifeTransport","combustion","Water consumption","kg",38.5943880846741,180
"Wood","endOfLifeTransport","composting","Water consumption","kg",38.5943880846741,180
"Wood","endOfLifeTransport","landfilling","Water consumption","kg",38.5943880846741,180
"Wood","production","production","Water consumption","kg",4003.0447095564,180
