"year","wasteshed","material","LCstage","disposition","umbDisp","tons"
2018,"Benton","FoodWaste","endOfLifeTransport","combustion","Disposal",0.0371206986147381
2018,"Benton","FoodWaste","endOfLifeTransport","composting","Recovery",1019.904
2018,"Benton","FoodWaste","endOfLifeTransport","landfilling","Disposal",9160.89371342001
2018,"Benton","FoodWaste","production","production","Production",10180.8348341186
2018,"Benton","Glass","endOfLife","landfilling","Disposal",955.354306144181
2018,"Benton","Glass","endOfLife","recycling","Recovery",2437.844
2018,"Benton","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Benton","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Benton","Glass","endOfLife","reuseContainer",NA,0
2018,"Benton","Glass","endOfLife","useAsAggregate",NA,0
2018,"Benton","Glass","endOfLifeTransport","landfilling","Disposal",955.354306144181
2018,"Benton","Glass","endOfLifeTransport","recycling","Recovery",2437.844
2018,"Benton","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Benton","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Benton","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Benton","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Benton","Glass","production","production","Production",3393.2021773188
2018,"Benton","PaperFiber","endOfLife","combustion","Disposal",0.0307747324406663
2018,"Benton","PaperFiber","endOfLife","landfilling","Disposal",7594.79383386255
2018,"Benton","PaperFiber","endOfLife","recycling","Recovery",4154.297
2018,"Benton","PaperFiber","endOfLifeTransport","combustion","Disposal",0.0307747324406663
2018,"Benton","PaperFiber","endOfLifeTransport","landfilling","Disposal",7594.79383386255
2018,"Benton","PaperFiber","endOfLifeTransport","recycling","Recovery",4154.297
2018,"Benton","PaperFiber","production","production","Production",11749.121608595
2018,"Benton","PlasticFilm","endOfLife","combustion","Disposal",0.011964486784807
2018,"Benton","PlasticFilm","endOfLife","landfilling","Disposal",2952.67588869457
2018,"Benton","PlasticFilm","endOfLife","recycling","Recovery",109.355
2018,"Benton","PlasticFilm","endOfLifeTransport","combustion","Disposal",0.011964486784807
2018,"Benton","PlasticFilm","endOfLifeTransport","landfilling","Disposal",2952.67588869457
2018,"Benton","PlasticFilm","endOfLifeTransport","recycling","Recovery",109.355
2018,"Benton","PlasticFilm","production","production","Production",3062.04285318136
2018,"Benton","ScrapMetal","endOfLife","landfilling","Disposal",2390.9906786232
2018,"Benton","ScrapMetal","endOfLife","recycling","Recovery",3775.609
2018,"Benton","ScrapMetal","endOfLifeTransport","landfilling","Disposal",2390.9906786232
2018,"Benton","ScrapMetal","endOfLifeTransport","recycling","Recovery",3775.609
2018,"Benton","ScrapMetal","production","production","Production",6166.60936711508
2018,"Benton","TinnedCan","endOfLife","landfilling","Disposal",391.902655368469
2018,"Benton","TinnedCan","endOfLife","recycling","Recovery",180.868
