"impactCategory","impactUnits","year","wasteshed","material","magnitude","pctOfTotal","datatype"
"Air PM2.5","kg PM2.5 eq.",2018,"Columbia","YardDebris",-14.3840958564059,-0.000181791596723835,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","Aluminum",1370.81417063617,0.0116605460981609,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","Cardboard",2281.33548697471,0.0194057066093017,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","Carpeting",793.663261885166,0.00675113173606441,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","Electronics",50227.7983636656,0.427252337168972,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","FoodWaste",19838.1174994085,0.168748827198971,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","Glass",2504.34407043083,0.0213026828175859,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","PaperFiber",31420.936709429,0.267275673680597,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","PlasticFilm",944.865710910973,0.00803730397208821,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","RigidPlastic",362.571316564305,0.00308413761779753,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","ScrapMetal",7322.4398428133,0.0622868140460709,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","TinnedCan",350.823207815468,0.00298420477017571,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Coos","YardDebris",142.322205005676,0.0012106342842155,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","Aluminum",451.975885040777,0.00833868517610853,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","Cardboard",905.260701585646,0.0167015193568232,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","Carpeting",355.914291876248,0.00656640614657103,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","Electronics",24779.717213029,0.457170985071039,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","FoodWaste",8852.1225776982,0.163316375405931,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","Glass",829.951826934477,0.0153121155911191,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","PaperFiber",13856.8993456576,0.255651518111499,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","PlasticFilm",428.125158732636,0.00789865351847447,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","RigidPlastic",154.060106158701,0.00284231695976294,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","ScrapMetal",3403.95325229447,0.0628009047927712,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","TinnedCan",153.300347928254,0.00282829987411005,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Crook","YardDebris",31.0156377862,0.000572219995790272,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","Aluminum",462.599638488114,0.00964127767955436,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","Cardboard",1012.65999889418,0.0211053693777732,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","Carpeting",312.241526750043,0.00650758671650478,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","Electronics",20529.257241633,0.427860839382544,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","FoodWaste",7765.91536706273,0.161853447906864,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","Glass",1334.93146228929,0.027821995177446,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","PaperFiber",12574.8481539305,0.262078896616756,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","PlasticFilm",370.125259828036,0.00771397145462965,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","RigidPlastic",146.363650402085,0.00305044033396056,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","ScrapMetal",3275.89748026551,0.068274669129046,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","TinnedCan",140.179384194653,0.00292155085202105,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Curry","YardDebris",56.1358100595289,0.00116995537289972,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","Aluminum",3993.73617321785,0.00958754075598308,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","Cardboard",8810.32875627597,0.0211504672218612,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","Carpeting",2791.44269993051,0.00670126154878467,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","Electronics",166964.861656991,0.400823275880964,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","FoodWaste",71566.3061881718,0.171805258929114,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","Glass",13168.9127697792,0.0316138779368881,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","PaperFiber",123445.117682492,0.296347842114572,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","PlasticFilm",3329.79548130733,0.00799365518939624,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","RigidPlastic",1304.3871988181,0.00313136994729797,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Deschutes","ScrapMetal",21112.1004988106,0.0506826478258998,"impact"
